name,company,location,salary,industry,type,skills
Full Stack Developer,Kimbocorp,Singapore,Negotiated,Design | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Part-Time | Freelance | Internship | Contract,AngularJS
Sales Assistant,OnTheList,Singapore,Negotiated,Customer Service,Full-Time,interpersonal skill | customer service | communication
Part Time Travel Consultant,Fayyaz Travels Pte Ltd,Singapore,Negotiated,Corporate Support | Customer Service | Technical Support | Others,Full-Time | Part-Time | Freelance | Contract,Amadeus | galileo | MS word | english | MS excel
Store Manager,OnTheList,Singapore,Negotiated,Customer Service,Full-Time,interpersonal skill | store management | customer service | communication
JavaScript / Node.js Web Developer,cloudcoder,Malaysia,Negotiated,Full-stack Developer | Back-End Developers,Full-Time,UNIX | PostgreSQL | Git | JavaScript
Front-End Developer,Sync Lab Sdn Bhd,Malaysia,1200 - 1800 SGD,Front-End Developers,Full-Time,react.js | vue.js | CSS | JavaScript | Twitter Bootstrap Framework | Sketch App | Git
Events and Customer Service,The Foodist,Singapore,Negotiated,Customer Service,Full-Time,Event Management | Customer Service
Human Resource Executive / Admin,BUTLER,Singapore,1800 - 2500 SGD,Customer Service,Full-Time | Contract,payroll | recruitment
Senior HR Business Partner,Datesmith,Singapore,6000 - 8000 SGD,Analytics | Business Development | Corporate Support | Customer Service | Public Relations | Project Management | Others,Full-Time,Forward Thinking | HRIS | Stakeholder Management | Labour Law | Employee Communications | Learning & Development | Compensation & Benefit | Talent Acquisition | Computer Literacy | Communication Skills | Project Management | Team Management | People Management | Human Resources
Telemarketer Remote Available,Kinnetik Pte Ltd,Philippines,Negotiated,Business Development | Corporate Support | Customer Service | Marketing,Freelance,Ability to cope with rejection on a daily basis
Business Analyst (Software) Intern,Finology Sdn Bhd,Malaysia,Negotiated,Technical Support | Project Management | System Software Analyst,Internship | Temporary,Problem Solving | Analytical Thinking
Sales Assistant,The Artling,Singapore,Negotiated,Customer Service | Project Management,Full-Time,Mandarin | Excel
Programme Manager,StartupX,Singapore,Negotiated,Business Development | Project Management,Full-Time,Event curation | Event Planning | Client Management | Proposals | Project Management
Talent Acquisition Executive,Datesmith,Singapore,Negotiated,Business Development | Corporate Support | Customer Service | Project Management | Others,Full-Time | Internship | Temporary | Contract,Computer Literacy | Microsoft Office | Talent Acquisition | Stakeholder Management | Time Management | Project Management | People Skills | Negotiation Skills | Communication | Public Speaking | Recruitment | Human Resources
Web & Graphic Designer,EasyWork Asia Sdn. Bhd.,Malaysia,Negotiated,Design,Full-Time,Wordpress | After Effects | Photoshop | Adobe Illustrator
Admin Assistant,The Copy Boy Pte Ltd,Singapore,Negotiated,Corporate Support | Project Management,Internship | Temporary,Google Apps | Microsoft | Gmail
Designer,Ematic Solutions,Vietnam,Negotiated,Design,Full-Time,Campaign Management | Illustrator | InDesign | Photoshop
Creative PR Executive (Internship),The PR Salon,Singapore,850 - 1000 SGD,Marketing | Public Relations | Editorial,Part-Time | Freelance | Internship,Premier Pro | After Effects | Adobe Photoshop | Copywriting | Microsoft office
Part Time Writer (Work From Home) Remote Available,ResumeWriterSG,Malaysia,100 - 2500 SGD,Marketing | Editorial,Full-Time | Part-Time | Freelance | Temporary | Contract,Writing
(Remote) Customer Happiness Hero Remote Available,XooGuu,Indonesia,5000000 - 5000000 IDR,Customer Service,Full-Time | Part-Time,communication | attention to detail | serving attitude
Commodities Data Scientist Internship (Iron Ore & Steel) Featured,Tivlon Technologies Private Limited,Singapore,1000 - 1500 SGD,Analytics,Part-Time | Freelance | Internship,Python | Statistic | Machine Learning | Computer Science
Performance Marketing Executive Remote Available,Merch Foundry,Malaysia,Negotiated,Marketing,Full-Time | Freelance | Contract,google analytics | cpc | cpm | sem | adwords | facebook ads | remarketing | ppc
"Account Manager, Industry Development",Kinnetik Pte Ltd,Singapore,1500 - 4500 SGD,Business Development,Full-Time,Sales | Account Mangement | Advertising | Automobile | Cars
Full Stack Engineers Remote Available,Kinnetik Pte Ltd,Singapore,Negotiated,Full-stack Developer | Back-End Developers,Full-Time | Contract,laravel
Content Writer (Web & Social) Remote Available,Kinnetik Pte Ltd,Singapore,Negotiated,Editorial,Full-Time | Part-Time | Freelance | Temporary | Contract,Automobile | Socal media | Web
Operation Executive,Eat Drink Play Repeat Sdn Bhd,Malaysia,Negotiated,Others,Full-Time,customer service | operations | time management | stock management
Nomad Trip Curator (Manila) Featured Remote Available,The Luxe Nomad,Philippines,450 - 850 USD,Customer Service,Full-Time | Part-Time | Freelance | Contract,project management | attention to detail | numbers driven | good writing skills | data analysis | multitasking | personable | resourceful | adaptable | quick-thinking | problem-solving 
Full Stack Developer,Paydee Sdn Bhd,Malaysia,Negotiated,Full-stack Developer,Full-Time,HTML | bootstrap | javascript | Angular | Java
Mobile Developer,RecursiveX PLT,Malaysia,Negotiated,UI/UX | Full-stack Developer | Front-End Developers,Full-Time | Internship,UI/UX | APIs | Flutter
Devops Engineer Featured,PigeonLab (Pigeonhole Live),Singapore,4000 - 6000 SGD,Software-system Administrator,Full-Time,amazon web services | infrastructure-as-code | python | bash | containers
Quality Assurance (QA) Analyst Internship / Contract,Wego Pte Ltd,Singapore,1000 - 1000 SGD,System Software Analyst,Internship | Temporary | Contract,QA Automation | QA Analyst | QA Testing
UI/UX Designer,FLEXIROAM,Malaysia,1000 - 1333 SGD,UI/UX,Full-Time,adobe xd | photoshop | adobe illustrator | Wireframe tools
Accounting & Bookkeeping Officer,Lumen Lab (HK) Ltd,Hong Kong,Negotiated,Analytics,Full-Time,full set accounting | AR/AP | accounting system
In-House Entrepreneur,The Creative Square,Singapore,3200 - 3500 SGD,Business Development | Corporate Support | Design | Marketing | Project Management,Full-Time,entrepreneur | market validation | project management | business development | marketing | sales
Kitafund Intern,Skolafund,Malaysia,Negotiated,Business Development | Customer Service | Design | Marketing | Technical Support | Public Relations | Others,Internship,business development | operations | documentation | report writing | design
Partner Account Management Executive Featured,Catersmith,Singapore,2500 - 3800 SGD,Business Development,Full-Time,business development | sales | account management
Front-End Software Engineer (For Labster) Remote Available,Livit,Indonesia,15000000 - 17000000 IDR,Front-End Developers,Full-Time,vue.js | Javascript | HTML | CSS | C#
PowerPoint Re-templating Designer - Remote Featured Remote Available,Superside,Singapore,12 - 30 USD,Design,Full-Time | Freelance | Contract,microsoft powerpoint
Sales & Business Development Manager,aQieve,Singapore,Negotiated,Business Development,Full-Time,Business Development | Sales
PHP Web Developer,TECHBOX PLT,Malaysia,Negotiated,Analytics | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,php | javascript | html | css | mysql | aws
Senior Software Engineer,iScholar Sdn Bhd,Malaysia,Negotiated,Full-stack Developer,Full-Time | Freelance,Google Cloud Platform | RESTful APIs | Vue.js | Laravel | NoSQL | SQL | CSS | HTML | JavaScript | PHP
Part Time Admin,WeStyleAsia,Malaysia,Negotiated,Corporate Support | Others,Part-Time,Resourcefulness | Microsoft Office | Detail Oriented | Time Management
Sales and Marketeing Associate,WeStyleAsia,Malaysia,Negotiated,Business Development | Marketing | Project Management,Full-Time | Contract,Creative | Proactive | Management | Communication | Prospecting Skills
Head of Sales,MyBump Media,Malaysia,Negotiated,Business Development | Marketing,Full-Time | Internship | Contract,Selling | Be | Always
Experienced Software Engineer - Android @ Lomotif,Lomotif,Singapore,Negotiated,Back-End Developers,Full-Time,Native App Development | Android Development
Junior Software Engineer - Android @ Lomotif,Lomotif,Singapore,Negotiated,Front-End Developers | Back-End Developers,Full-Time,Native App Development | Android Development
Global Sales Hunter Remote Available,Holistics Software,Singapore,Negotiated,Analytics | Business Development | Big Data,Full-Time,Sales | Business Development | Outreach | Prospecting | Data Analytics | B2B Software
Assistant Marketing Manager,igloohome,Singapore,3000 - 3800 SGD,Marketing,Full-Time,Marketing | Web Development | Digital Marketing | Web Analytics | Brand Awareness | Online Marketing | B2B Marketing | Google Analytics | Marketing Campaigns | Google Ads
Full Stack Web Developer Featured,Oriental Eagle Pte Ltd,Singapore,Negotiated,Full-stack Developer,Full-Time,Continuous Integration | Continuous Delivery | Node.JS | Ruby | Ruby on Rails | React.JS | Amazon API gateway | AWS Lambda | DynamoDB | Javascript | Elastic Search
Operations Trainee for food-tech startup,CaterSpot,Singapore,800 - 1200 SGD,Business Development | Customer Service | Others,Full-Time | Part-Time | Internship | Contract,english | multi-tasking | account management | logistics management | operations management
Product and Project Manager,CryoWerx,Singapore,Negotiated,Project Management,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,Scrum | Agile
"Executive, Sales & Distribution Partnerships Featured",GlobalTix Pte Ltd,Singapore,Negotiated,Business Development | Customer Service,Full-Time,Sales-driven; Client Engagement
Production Manager,gumi Asia Pte Ltd,Singapore,Negotiated,Project Management,Full-Time,Game Operations
Customer Experience Specialist,Style Theory,Singapore,Negotiated,Customer Service,Full-Time | Part-Time | Internship,Problem-solving | Technology savvy | Communication | Customer Service
"Executive, Digital Marketing Featured",GlobalTix Pte Ltd,Singapore,Negotiated,Marketing | Public Relations,Full-Time,Google Analytics; Google Adwords campaigns; SEO/SEM
Production Manager,gumi Asia Pte Ltd,Singapore,Negotiated,Project Management,Full-Time,Game Operations
Entrepreneur in Residence (will convert to full time),houzen,Singapore,1500 - 2500 SGD,Business Development,Full-Time | Internship,independence | business development | sales
Marketing Manager Featured Remote Available,BUTLER,Singapore,2000 - 2500 SGD,Business Development | Design | Marketing | UI/UX | Project Management | Editorial,Full-Time | Part-Time | Freelance | Internship,social media | newsletter | content | wordpress | graphic design | management | Marketing
Public Relations Executive,gumi Asia Pte Ltd,Singapore,2800 - 3300 SGD,Marketing,Full-Time,Public Relations | Marketing
UI/UX Engineer,Incube8 Pte Ltd,Singapore,5000 - 6000 SGD,UI/UX,Full-Time,RESTful APIs | react framework | cdd frameworks | scss | gulp | PHP | NodeJs | MySQL
Junior Project Manager,CrescoData Pte Ltd,Singapore,2000 - 3500 SGD,Project Management,Full-Time,IT Skills | Analytical | Attention to detail | communication | Excel
Senior Software Engineer,CCRManager,Singapore,6000 - 8000 SGD,Full-stack Developer,Full-Time,Data Modelling | DevOps | React.JS | Spring Boot | Spring | JavaScript | Java
Backend Developer (Python) Featured,Hmlet | Coliving,Singapore,Negotiated,Back-End Developers,Full-Time,Building API | Python | PostgreSQL | MongoDB | AWS | Google Cloud | Backend Web Development | Django | Microservices
UI/UX Designer,Lexagle,Singapore,6000 - 10000 SGD,Design | UI/UX,Full-Time,Design | UI/UX | User Interface Design | User Experience Design
Part Time Marketing Assistant,EConcierge Pte Ltd,Singapore,960 - 1600 SGD,Marketing | Others,Part-Time,Photography | Photoshop
"Merchandizer/ Buyer (Home, Tech, Travel)",EConcierge Pte Ltd,Singapore,Negotiated,Business Development | Marketing,Full-Time | Contract,Sales | Business Development | Sourcing | Merchandising | Buying
Finance Intern,Foodpanda Singapore Pte Ltd,Singapore,Negotiated,Others,Internship,accounting | Microsoft Excel
Software Engineer (QA),SourceClear Pte Ltd,Singapore,Negotiated,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,2 years’ experience in software engineering
Sales Director,Flyspaces,Singapore,5000 - 7000 SGD,Business Development,Full-Time,Real estate market knowledge | Business Development | Client management | Sales
Account & Project Manager,CTSI-Global,Singapore,4200 - 5200 SGD,Analytics | Customer Service | Project Management | Big Data,Full-Time,consulting | supply chain | account management | project management
E-commerce Ops & Retail Intern,Vintagewknd,Singapore,400 - 400 SGD,Customer Service | Marketing | Others,Internship,Social Media | Customer Service | Ecommerce | Retail
Events Ops & Retail (Management Trainee),Vintagewknd,Singapore,1600 - 2200 SGD,Business Development | Customer Service | Marketing | Others,Full-Time,Events | Retail Sales | Roadshow | Logistics | Marketing
Venture Builder,LongHash,Singapore,Negotiated,Business Development | Project Management | Investment,Full-Time,Entrepreneurship | Multi-tasking | Blockchain | Mandarin | Start-ups | Deal Sourcing | Project Management | Consulting | Strategy/Planning
Senior Robotic Engineer Perception,iCube Logics (SG) Pte Ltd,Singapore,3600 - 6000 SGD,Others,Full-Time,"Radar | Vision | Sonar | Lidar | Embedded Systems | OpenCV, | C++ on Linux | ROS | Robotic Engineering, | Autonomous Vehicles/Robots"
Senior Robotic Engineer - Localization,iCube Logics (SG) Pte Ltd,Singapore,3600 - 6000 SGD,Others,Full-Time,Radar | Sonar | Vision | Lidar | Embedded Systems | OpenCV | C++ on Linux | ROS | Robotic Engineering | Autonomous Vehicles/Robots
Vehicle Control Engineer Navigation & Vehicle Control,iCube Logics (SG) Pte Ltd,Singapore,3600 - 6000 SGD,Others,Full-Time,Embedded Systems | C++ on Linux | ROS | Robotic Engineering | Autonomous Vehicles/Robots
WMS Integrator/Engineer - Warehouse Management System,iCube Logics (SG) Pte Ltd,Singapore,3600 - 6000 SGD,Others,Full-Time,ERP Integration | React | Node Js | Angular | SAP WM | SAP
Software Quality Engineer - Software Testing,iCube Logics (SG) Pte Ltd,Singapore,3600 - 6000 SGD,Others,Full-Time,Automated Testing | Quality Engineering | QA | SCRUM
Assistant Marketing Manager / Senior Marketing Executive,igloohome,Singapore,3500 - 5000 SGD,Marketing,Full-Time,digital marketing | b2b marketing | marketing
Part-time Flower Operations Assistant,A Better Florist,Singapore,Negotiated,Customer Service | Others,Part-Time,Familiarity with SG routes | Can multitask | Strong English and Mandarin communication skills
Senior Mobile Application Developer (iOS/ Android) Featured,Manja Technologies Pte Ltd,Singapore,5000 - 8000 SGD,Full-stack Developer,Full-Time,swift | objective-c | iOS | android
Accounts Assistant,Sift & Pick,Singapore,Negotiated,Others,Contract,Accounting | MS Office
Product Explainer Remote Available,Puloh,Philippines,30 - 50 SGD,Marketing,Freelance,Explanation skill
Server Developer,gumi Asia Pte Ltd,Singapore,Negotiated,Back-End Developers,Full-Time,Amazon Web Services
Senior Client Developer (Unity 3D),gumi Asia Pte Ltd,Singapore,Negotiated,Front-End Developers,Full-Time,Unity3D
Marketing Executive,Sift & Pick,Singapore,Negotiated,Design | Marketing | Editorial,Full-Time | Contract,Content Marketing | SEM | SEO | Google Adwords | Ads Management | Ads Reporting | Social Media Management | Campaign Management | Copywriting
Marketing Intern,Sift & Pick,Singapore,Negotiated,Design | Marketing | Editorial,Internship,Photoshop | Photo Editing | Photography | SEO | Campaign Management | Copywriting | Content Writing
Office Administrator,AMiLi,Singapore,3000 - 3000 SGD,Others,Full-Time,Personal Assistant | Project Coordinator | Administration
UI/UX (Graphic) Designer,Hustle & Bustle Pte Ltd,Singapore,2500 - 4000 SGD,Design | UI/UX | Front-End Developers,Full-Time | Contract,UI/UX | Design | Adobe Creative Suite | Adobe Photoshop | InVision | Wireframing | Adobe Illustrator | Graphic Design | HTML/CSS
Web/Software Developer,Hustle & Bustle Pte Ltd,Singapore,2500 - 4000 SGD,Analytics | Technical Support | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Contract,iOS | Android | Web Application | Node.js | React.js | JavaScript | HTML/CSS | Back-end Programming | Front-end Programming
(Group) Marketing Manager,Hustle & Bustle Pte Ltd,Singapore,2500 - 4000 SGD,Business Development | Marketing | Project Management,Full-Time | Contract,Project Management | Presentation | Sales | Consumer Marketing | Event Marketing | B2B | Content Marketing | Social Media | Analytics | SEO | Marketing
(Group) Accountant,Hustle & Bustle Pte Ltd,Singapore,2800 - 4500 SGD,Project Management | Others,Full-Time | Contract,Forecasting | Budget | Variance Analysis | Project Accounting
Chief Technology Officer (CTO),Hustle & Bustle Pte Ltd,Singapore,3800 - 5000 SGD,Business Development | Technical Support | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers | Project Management | Big Data,Full-Time,Strategic Thinking | Self-starter | Leadership | Entrepreneurial | Project Management | Web Systems | Technical Aptitude | Node.js | React.js | Programming Languages
Technical Internship,CrescoData Pte Ltd,Singapore,1000 - 1000 SGD,Technical Support | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers | System Software Analyst,Internship,MS Excel Wizard | Interest in Technology | Understanding of Development Languages
Business Development Associate,Advantir Innovations,Singapore,1500 - 2500 SGD,Business Development,Full-Time | Part-Time | Freelance | Temporary | Contract,Sales | Business development
Property Partnership Nomad (Manila) Featured Remote Available,The Luxe Nomad,Philippines,550 - 750 USD,Marketing | Project Management | Others,Full-Time,Attention to Details | Teamwork | Responsible | Diligent | Self-management | Problem Solving skill | Willing to learn | Positive Attitude | Professional | Pro-active | multi tasking
Executive Assistant,CrescoData Pte Ltd,Singapore,1500 - 3000 SGD,Customer Service | Public Relations | Others,Full-Time,Strong PC skills | Microsoft Office | Fluency in English | Team player | Strong attention to detail | Adaptable | Strong analytical mindset
Finance & HR Executive,CrescoData Pte Ltd,Singapore,1500 - 3000 SGD,Customer Service | Public Relations | Others,Full-Time,"Strong PC skills | microsoft office | Fluency in English | Team player | Strong attention to detail | Strong analytical mindset | An interest in Tech & Digital | Good communication, self management & teamwork skills | Driven to make a difference and improve processes."
Event Coordinator,Hustle & Bustle Pte Ltd,Singapore,2500 - 3000 SGD,Project Management | Others,Full-Time | Contract,Event Planning | Event | Project Management
Sales & Marketing Internship,CrescoData Pte Ltd,Singapore,1000 - 1000 SGD,Corporate Support | Marketing,Internship,Analytical | good communications skills | Demonstrated use of software applications | Demonstrated leadership & self-confidence | fluency in English | Degree or diploma qualified | social media tools | design programmes | microsoft office
Sales & Business Development Executive,LittleLives Inc,Singapore,2500 - 3000 SGD,Business Development,Full-Time,Project Management | Business Development | Sales
Customer Service Associate,Lalamove Singapore,Singapore,1700 - 2200 SGD,Customer Service,Full-Time,Customer Satisfaction | Customer Relationship | Customer Follow-up | Customer Retention | Customer Engagement | Conflict Resolution | Customer Experience | Customer Service | Customer Support
Corporate Support Executive / Admin Manager at TripCanvas,TripCanvas,Malaysia,Negotiated,Corporate Support | Others,Full-Time | Contract,Google Suites | Google Docs | Google Sheet
Customer Service Associate,Lalamove Singapore,Singapore,1700 - 2200 SGD,Customer Service,Full-Time,Customer Service | Customer Experience | Customer Retention | Communication | Conflict Resolution | Customer Support | Customer Follow-up | Customer Engagement | Customer Satisfaction
Customer Experience Intern,Style Theory,Singapore,Negotiated,Customer Service,Internship,Pro-active Team Player | Problem-solving | Communication
Customer Support Representative Featured,Oriental Eagle Pte Ltd,Singapore,Negotiated,Customer Service,Full-Time,customer support | customer service
Management Trainee,GlobalTix Pte Ltd,Singapore,Negotiated,Analytics | Business Development | Corporate Support | Others,Full-Time,• Good organisational skills
Content / Creative Strategist (Digital Media) Featured,Nuren Group,Malaysia,Negotiated,Marketing | Public Relations | Editorial,Full-Time,content & creative strategy | business proposal | creative idea and content calendar
Head of Digital / Digital Manager Featured,Nuren Group,Malaysia,Negotiated,Analytics | Marketing | Big Data,Full-Time,digital marketing | data analytics | growth hacking
Business Development Manager / Executive (Buyer) Featured,Nuren Group,Malaysia,Negotiated,Business Development,Full-Time,account mangement | business development | merchandising
"Business Process Delivery Analyst, Attractions",GlobalTix Pte Ltd,Singapore,Negotiated,Analytics | Project Management,Full-Time,service orientated; multitask
DevOps & SRE Engineer Remote Available,CryoWerx,Singapore,Negotiated,Software-system Administrator,Freelance,Jenkins | PostgreSQL | Linux | Docker | Kubernetes | Digital Ocean | Google Cloud | AWS
Graphics Designer for Travel Company Wego,Wego Pte Ltd,Singapore,1000 - 1000 SGD,Design,Internship | Contract,Adobe Aftereffects | Photoshop
Podcast Host & Reporter,PITCH MEDIA ASIA,Singapore,2500 - 3000 SGD,Public Relations,Full-Time,client relationships | relationship management | travel | audio | video | host | podcast | presenting | writing | journalism | storytelling
UI/UX Designer Featured,Spaceship,Singapore,Negotiated,Design | UI/UX,Full-Time,Design | Photoshop | Sketch | User Experience | UI/UX
Full Stack Developer (Junior/Senior) Featured,Spaceship,Singapore,Negotiated,Full-stack Developer,Full-Time,React Native | React.JS | Angular.JS | Javascript | CSS3 | HTML5 | MongoDB | MySQL | PHP
Agile QA Tester/Developer,2359 Media Pte Ltd,Singapore,Negotiated,Technical Support | Others,Full-Time,API Testing | Mobile Testing | Testing | Quality Assurance
Senior HTML5 Developer (ReactJS),2359 Media Pte Ltd,Singapore,Negotiated,Front-End Developers,Full-Time,reactjs | web | Web development
HR Executive,2359 Media Pte Ltd,Singapore,Negotiated,Others,Full-Time,Admin | Culture Building | Hiring | Human Resources
Enterprise Business Development Manager,Arcadier,Singapore,Negotiated,Business Development,Full-Time,Team Player | Self-Starter | Speaks & Write Strong English | Ability to Travel | Hardworking | Sales Focus | Keen Eye for Details | Enterprise Customer Management | Strong Presentation Skills
Senior Software Engineer - Android @ Lomotif,Lomotif,Singapore,Negotiated,Back-End Developers,Full-Time,Android Developer | Native Application
Senior Software Engineer - iOS @ Lomotif,Lomotif,Singapore,Negotiated,Back-End Developers,Full-Time,Native Applications | iOS Development
Senior Software Engineer - Backend @ Lomotif,Lomotif,Singapore,Negotiated,Back-End Developers,Full-Time,Native Mobile Applications | Backend Development
Admin and Marketing Executive,Bizsquare Management Consultants Pte Ltd,Singapore,1700 - 2200 SGD,Marketing,Full-Time,Marketing Skills | Research Skills | Admin Support Skills
Business Relationship Associate,Bizsquare Management Consultants Pte Ltd,Singapore,2000 - 5000 SGD,Business Development | Project Management,Full-Time,Time Management | Customer Service | Project Management
Business Relationship Associate (Internship),Bizsquare Management Consultants Pte Ltd,Singapore,1000 - 1000 SGD,Business Development | Project Management,Internship,Project Management | Customer Management | Customer Service | Time Management
Marketing Intern,Bizsquare Management Consultants Pte Ltd,Singapore,800 - 800 SGD,Marketing,Internship,Project Management | Wordpress | Time Management
Product Manager Featured,Purely B,Malaysia,Negotiated,Corporate Support | Project Management | Others,Full-Time,product management | agriculture | marketing strategy
"Indochina Compliance Manager (Cambodia, Laos & Vietnam)",Chynge,Singapore,4000 - 8000 SGD,Corporate Support,Full-Time,regulatory compliance
Operations and Logistics Internship,StyleTribute,Singapore,600 - 1000 SGD,Business Development | Corporate Support | Customer Service | Marketing | Project Management | Others,Part-Time | Internship | Temporary | Contract,business development | logistics | operations
Enterprise Business Development Manager,Arcadier,Singapore,Negotiated,Business Development,Full-Time,Software Sales | Interpersonal Skills | powerpoint | Presentation Skills | Business Development | Negiotiations | Enterprise Sales | Teamwork
Relationships Manager,The Working Capitol,Singapore,4100 - 5600 SGD,Others,Full-Time,Strategy | Relationship Management | Sales
IT Operations Intern,AIMAZING,Singapore,800 - 1000 SGD,Technical Support,Internship,Information Technology
Information Technology Operations Intern,AIMAZING,Singapore,800 - 1000 SGD,Technical Support,Internship,Information Technology
Business Development & Marketing Intern,AIMAZING,Singapore,800 - 1000 SGD,Business Development | Marketing,Internship,Marketing | B2B Marketing | B2B Sales | Business Development
Junior product manager Featured,Klinify,Singapore,3000 - 4500 SGD,Design | UI/UX | Project Management | Others,Full-Time,ux | ui | product management
"Web Developer (Remote, in Asia) (No to Middlemen/contractors) Featured Remote Available",Klinify,Singapore,2000 - 3200 SGD,Front-End Developers,Full-Time,react | react.js | redux | javascript
"Sales Lead (Johor, Penang, Malacca, Sabah, Sarawak) Featured",Klinify,Malaysia,1000 - 1500 SGD,Business Development,Full-Time,sales | business development | pharma | pharamceutical
Ecommerce Internship at Floral Garage Singapore,Floral Garage Singapore,Singapore,1000 - 1000 SGD,Customer Service | Marketing | Others,Internship,Intelligence | Drive | Discipline
Deal Hunter - Indonesia,iPrice Group Sdn Bhd,Malaysia,Negotiated,Marketing,Full-Time,Able to indentify Indonesian market
Content Intern,YP SG,Singapore,Negotiated,Editorial,Internship,Lightroom | Photoshop | Social Media Marketing | Writing
PowerPoint & Graphic Designer - Full Time Remote,Superside,Singapore,12 - 30 USD,Design,Full-Time,graphic design | adobe | powerpoint
Front-End React Developer,Incube8 Pte Ltd,Singapore,5000 - 6000 SGD,Front-End Developers,Full-Time,front-end | React
Customer Excellence Executive,FLEXIROAM,Malaysia,596 - 827 SGD,Customer Service,Full-Time,Tech savvy | Grammar expert; English | Flexible and adaptable | Clear communication skills
Legal Associate,Inmagine,Malaysia,Negotiated,Others,Full-Time,law | Legal
Software Engineer,JEDTrade,Singapore,2500 - 5000 SGD,Full-stack Developer | Others,Full-Time,C++ | Python | Javascript | Golang | Blockchain
Project Manager,JEDTrade,Singapore,3500 - 6500 SGD,Project Management | Others,Full-Time,Project Management | Agile | Blockchain
Research Engineer,JEDTrade,Singapore,3500 - 7500 SGD,Others,Full-Time,Distributed Systems | Systems Research
Marketing Executive,Kohepets,Singapore,2600 - 3200 SGD,Analytics | Business Development | Customer Service | Marketing | Public Relations | Editorial,Full-Time,SEO | Google Analytics | Negotiation Skills | Partnership Building | Interpersonal Skills | Marketing | Social Media Marketing | Copywriting
Marketing Assistant,Kohepets,Singapore,1800 - 2400 SGD,Business Development | Customer Service | Marketing | Public Relations | Editorial,Full-Time,Interpersonal Skills | Social Media Marketing | Copywriting
Wahed Intern,Wahed Invest,Malaysia,Negotiated,Corporate Support | Customer Service | Others,Internship,Islamic Finance | Shariah | Syariah | Bahasa | English | Microsoft Office | GSuite
Mobile Developer (iOS/Android),ME Creative Studio,Malaysia,860 - 1150 SGD,Full-stack Developer,Full-Time,Java | Swift
Admin & Operations Assistant,Merch Foundry,Singapore,1600 - 2000 SGD,Corporate Support,Full-Time | Contract,excel | photoshop | illustrator | language | cusotmer service
Business Development and Marketing Internship,ME Creative Studio,Malaysia,Negotiated,Business Development | Marketing,Internship,Marketing | Selling | Presentation | Networking | Negotiation
Mobile Apps Developer (iOS / Android),iZyoo Platform Sdn Bhd,Malaysia,Negotiated,Others,Full-Time,Android Studio (Java or Kotlin) | XCode (Swift or Objective-C)
